Rab14	NM_026697
9530068E07Rik	NM_153117
Pklr	NM_001099779
Lsr	NM_001164184
Chmp2a	NM_001360730
Txn2	NM_019913
Rnf181	NM_001331167
Uqcrb	NM_026219
Dctn2	NM_001190453
Taldo1	NM_011528
Ninj1	NM_013610
Ak3	NM_001365071
Chchd3	NM_001355667
Bst2	NM_198095
Uqcr11	NM_025650
Got1	NM_010324
Clta	NM_001080384
Sdc1	NM_011519
Egfr	NM_007912
Lap3	NM_024434
Cyb5r3	NM_029787
Ociad1	NM_001159887
Edf1	NM_021519
Psma6	NM_001310583
Hp	NM_001329965
Nadk	NM_001159637
Nucb1	NM_001163662
Pcbd1	NM_025273
Etfb	NM_026695
Sephs2	NM_009266
Hsd17b4	NM_008292
Ak2	NM_001033966
Bcap31	NM_001313698
Elovl5	NM_134255
Cox5a	NM_007747
Abcc3	NM_001363187
Dlst	NM_030225
Sdhd	NM_025848
Atp5j2	NM_020582
Mthfd1	NM_138745
Ndufa7	NM_023202
Nbr1	NM_001252220
Smdt1	NM_026914
Psmb2	NM_011970
Gsta3	NM_001077353
Dynlrb1	NM_001291108
Gpd1	NM_010271
Atp5e	NM_025983
Oat	NM_016978
Abcc2	NM_013806
Lman2	NM_025828
Glo1	NM_001113560
Hsbp1	NM_024219
Trap1	NM_026508
Scp2	NM_011327
Gclm	NM_008129
Hsd17b12	NM_019657
Arf5	NM_007480
Etfa	NM_145615
Srebf1	NM_001313979
Swi5	NM_001290552
Ech1	NM_016772
Ndufc2	NM_024220
Atf5	NM_030693
Ndfip1	NM_001355749
Prkcsh	NM_001293650
Psmb1	NM_011185
Ddah1	NM_026993
Ppa1	NM_026438
Fdps	NM_001253751
Trp53inp2	NM_178111
Selenow	NM_009156
Bnip3	NM_009760
Fasn	NM_007988
Mia2	NM_001165253
Xbp1	NM_001271730
Sdc4	NM_011521
Idh3b	NM_001362752
Mrpl12	NM_027204
Pcyt2	NM_001347615
Adi1	NM_134052
Cpt1a	NM_013495
Tmem258	NM_001163431
Slc25a10	NM_013770
Ppib	NM_011149
Tomm6	NM_001164729
Fh1	NM_010209
Hnf4a	NM_001312906
Copz1	NM_001357748
D8Ertd738e	NM_001007571
Rdx	NM_001104616
Mknk2	NM_021462
Ndufb10	NM_026684
Ece1	NM_001369177
Aldh3a2	NM_001331114
Ppp2ca	NM_019411
Aco1	NM_007386
Rida	NM_008287
Hadha	NM_178878
Gns	NM_001364695
Slc25a1	NM_153150
Mgst1	NM_001347489
Lpin2	NM_001164885
Ugp2	NM_001290634
Agpat3	NM_001404870
Higd2a	NM_025933
Uqcrfs1	NM_025710
Jund	NM_001286944
Acsf2	NM_153807
Ambp	NM_007443
Fam120a	NM_001033268
Herpud1	NM_001357205
Ndufs6	NM_010888
Nabp2	NM_001358972
Adh5	NM_001288578
Lypla1	NM_001355712
Adk	NM_001243041
Acadvl	NM_017366
Comt	NM_001111062
Psme1	NM_011189
Adipor2	NM_001355692
Ndufs8	NM_001271443
Suclg1	NM_019879
Bhlhe40	NM_011498
Sdhc	NM_025321
Aldh9a1	NM_001402830
Sucla2	NM_001361638
Creg1	NM_011804
Cfi	NM_001329552
Aldh1a1	NM_001361503
Sigmar1	NM_001286538
Mrpl52	NM_026851
Os9	NM_001171026
Msmo1	NM_025436
Tmem14c	NM_001360770
Ndufv2	NM_001278415
Wbp1l	NM_001177812
Txndc5	NM_001289598
Pmpcb	NM_028431
Ddrgk1	NM_029832
Krtcap2	NM_001310625
Pomp	NM_025624
H2-K1	NM_001001892
Rnasek	NM_173742
Acadm	NM_007382
Gabarapl1	NM_020590
Acot13	NM_025790
Ei24	NM_001199494
Phlda1	NM_009344
Mtss1	NM_001146180
Spint2	NM_001082548
Fam162a	NM_027342
Sar1b	NM_025535
Vamp8	NM_016794
Rcl1	NM_021525
Ndufa3	NM_025348
Slc25a23	NM_001379067
Eif4ebp2	NM_010124
Eif4ebp1	NM_007918
Psmb7	NM_011187
Ssr4	NM_001166480
Mrpl14	NM_026732
Sdhb	NM_001355515
BC005537	NM_024473
Ppp2r5a	NM_144880
Fah	NM_010176
Gpt2	NM_173866
Shmt1	NM_009171
Acads	NM_007383
Tmem259	NM_001003949
Eci2	NM_001110331
Ndufa8	NM_026703
Cluh	NM_001081158
Ccs	NM_016892
Ndufa13	NM_001382215
Sod1	NM_011434
Ndufs7	NM_001364694
Hspb8	NM_030704
Nfix	NM_001081981
Lactb2	NM_145381
Pgm2	NM_001356964
Gsta4	NM_010357
Aldh7a1	NM_001127338
Slc25a13	NM_001177572
Kdelr2	NM_025841
Dhrs1	NM_026819
Errfi1	NM_001356323
Lman1	NM_001172062
Iscu	NM_001363317
Hsd3b7	NM_001040684
Nipsnap1	NM_008698
Cope	NM_021538
Hagh	NM_001159626
Asl	NM_133768
Grcc10	NM_013535
Qsox1	NM_001024945
Vps25	NM_001284411
Apob	NM_009693
Dhcr24	NM_053272
Ndufv3	NM_001083891
Acadsb	NM_025826
Dhrs3	NM_001172424
Mettl7a1	NM_027334
Dgat2	NM_026384
Acat1	NM_144784
Ddt	NM_010027
Hs6st1	NM_015818
Cebpb	NM_001287738
Vkorc1	NM_178600
Hhex	NM_008245
Abcd3	NM_001355756
Slc29a1	NM_001199113
Hsd17b10	NM_016763
Ctsh	NM_001312649
Lrp1	NM_008512
Sfxn1	NM_027324
Hes6	NM_001360899
Bphl	NM_026512
Cmbl	NM_181588
Tob1	NM_009427
Lonp2	NM_001168591
Spr	NM_011467
Dcaf11	NM_001199009
Akr7a5	NM_025337
Dad1	NM_001113358
Slc16a2	NM_009197
S100a1	NM_011309
Acbd5	NM_001102436
Tmem256	NM_026982
Iah1	NM_026347
Agpat2	NM_026212
Echs1	NM_053119
Acaa2	NM_177470
Serp1	NM_030685
Gcsh	NM_026572
Eci1	NM_010023
Cisd1	NM_134007
Alas1	NM_001291835
Retsat	NM_026159
Crot	NM_023733
Fech	NM_001348055
Pdcd4	NM_001168491
Rxra	NM_001290481
Ivd	NM_001416219
Cpn1	NM_030703
Rps18	NM_011296
Gna12	NM_010302
Tprkb	NM_001170488
Mettl26	NM_026686
Mpst	NM_001162492
Msrb1	NM_001346668
Qdpr	NM_024236
Gpt	NM_182805
Sc5d	NM_172769
Nit1	NM_001242580
Etfdh	NM_025794
Anapc13	NM_181394
Tkfc	NM_145496
Bola3	NM_001363772
Tcn2	NM_001130458
Hibadh	NM_145567
Bckdha	NM_001403510
Pccb	NM_001311149
Dhrs4	NM_001037938
Tmem150a	NM_144916
Slc31a1	NM_175090
Slc25a22	NM_001177576
Aldh4a1	NM_175438
Hsd17b11	NM_053262
Oaf	NM_178644
Grhpr	NM_001312880
Insig1	NM_153526
Hadh	NM_008212
C1s1	NM_001097617
Itih2	NM_010582
Echdc2	NM_001254754
Cpt2	NM_009949
4931406C07Rik	NM_001199484
Abhd14b	NM_029631
Txnip	NM_001009935
Nop9	NM_026403
Phyh	NM_010726
Tst	NM_009437
Dusp1	NM_013642
Reep6	NM_001204931
Gstt1	NM_001358778
Gcdh	NM_001044744
Mpc2	NM_027430
Klf9	NM_010638
Jun	NM_010591
Dnajb9	NM_013760
Ier2	NM_010499
Amacr	NM_008537
Srd5a1	NM_175283
Mst1	NM_008243
Chchd10	NM_175329
Cideb	NM_009894
Glrx5	NM_028419
Tfr2	NM_001289507
Ndufb7	NM_025843
Gm2a	NM_010299
Ghr	NM_001048147
Acsl1	NM_001302163
Khk	NM_001310524
Acad11	NM_175324
Pdk2	NM_001361915
Zdhhc9	NM_172465
Galm	NM_176963
Proc	NM_001042767
Sardh	NM_138665
Plpp3	NM_080555
Scarb1	NM_001205082
Sord	NM_146126
Gls2	NM_001033264
Maob	NM_172778
Mmd	NM_001395423
Ndrg2	NM_001145959
Mlxipl	NM_001359237
Angptl4	NM_020581
Man2a1	NM_008549
Cyp3a13	NM_007819
Acy3	NM_001302479
Pnpo	NM_134021
Orm1	NM_008768
Sdc2	NM_008304
Nit2	NM_023175
Tmem205	NM_001253867
Aldh1l1	NM_001356412
Pcx	NM_001162946
Cth	NM_145953
St3gal5	NM_001035228
Acox2	NM_001161667
Cbr1	NM_007620
Pink1	NM_026880
Lifr	NM_001113386
Gpcpd1	NM_001042671
Nr1h4	NM_001163504
Afmid	NM_001363158
Hgfac	NM_019447
Slc37a4	NM_001293630
Dhdh	NM_027903
Pecr	NM_001356516
Cyp2d22	NM_001163472
Gamt	NM_001347119
Acaa1b	NM_001410625
Sema4g	NM_001413627
Decr2	NM_001411308
Nudt7	NM_001290180
Gstz1	NM_001252555
Aldob	NM_144903
Ugt2b36	NM_001029867
C4bp	NM_007576
Akr1c14	NM_134072
Slc25a15	NM_001358971
Isoc2a	NM_001101598
Pipox	NM_008952
Suox	NM_173733
Zfp36	NM_011756
Akr1c19	NM_001013785
Hebp1	NM_013546
Pxmp2	NM_001405245
Epas1	NM_010137
Msra	NM_001253712
Gchfr	NM_177157
Xylb	NM_001033209
Lrrc61	NM_001110160
Arrdc3	NM_001042591
Ephx2	NM_001271402
Lpin1	NM_001130412
Crp	NM_007768
Ttr	NM_013697
Ugt1a9	NM_201644
Serpind1	NM_001331047
Cyp27a1	NM_024264
Ugt2b34	NM_153598
Nr1d1	NM_145434
Blvrb	NM_001290525
Cebpa	NM_001287514
Egr1	NM_007913
Mettl7b	NM_027853
Gch1	NM_008102
Hoga1	NM_026152
Cbs	NM_001271353
Angptl8	NM_001080940
Gjb1	NM_001302496
Pemt	NM_001290011
Apon	NM_133996
Kyat3	NM_001293560
Adh1	NM_007409
Aldh6a1	NM_001313967
Clec2d	NM_053109
Hacl1	NM_019975
Fcgrt	NM_001357117
Glyat	NM_145935
Plk3	NM_001313916
Fos	NM_010234
Hsd17b2	NM_008290
Rnase4	NM_021472
Sec14l2	NM_144520
Igfals	NM_001364895
Acss2	NM_019811
Apoe	NM_001305819
Tmem243	NM_001081029
Dbp	NM_001412312
Prodh2	NM_019546
Aqp9	NM_001271843
Slc38a3	NM_001199217
Rgn	NM_009060
Acp5	NM_001102404
Cd302	NM_001290660
Ifitm3	NM_025378
Afm	NM_145146
Pglyrp2	NM_001271476
Slc25a47	NM_001012310
Selenbp2	NM_019414
Tcea3	NM_011542
Ttc36	NM_138951
C4b	NM_009780
Amdhd1	NM_027908
Serpinf1	NM_011340
Ugt1a10	NM_201641
Aadat	NM_011834
H2-Q10	NM_010391
Kyat1	NM_001356474
Slc2a2	NM_031197
Agt	NM_001416312
Etnk2	NM_175443
Papss2	NM_001201470
Mttp	NM_001163457
Ehhadh	NM_023737
Iqgap2	NM_027711
Nat8f1	NM_023160
Ang	NM_001161731
Lcat	NM_008490
Acat3	NM_001410277
Aldh1a7	NM_011921
Rapgef4	NM_001204165
Cpb2	NM_019775
C8g	NM_001271777
Fmo1	NM_001330291
Apoc4	NM_007385
Serping1	NM_009776
Alb	NM_009654
Hal	NM_010401
Gstm6	NM_001379504
Gstk1	NM_029555
Slc17a2	NM_001377113
Hsd11b1	NM_001044751
Tat	NM_146214
Slc22a18	NM_001042760
Upp2	NM_001289659
Abca6	NM_001166556
Cyp4v3	NM_133969
Fmo5	NM_001161763
Sult1a1	NM_001403131
Apoc1	NM_001110009
Hsd17b13	NM_001163486
Dio1	NM_007860
Ugt2b35	NM_172881
Apof	NM_133997
Hpgd	NM_008278
Serpinc1	NM_001379302
Tmprss6	NM_001355601
Rgs16	NM_011267
Aass	NM_013930
Igf1	NM_001111274
Klf15	NM_001355668
Gnmt	NM_001364890
Bdh1	NM_001122683
Saa4	NM_011316
Fga	NM_001111048
Cdo1	NM_033037
Kng1	NM_001102411
Apom	NM_018816
Acsm1	NM_054094
Creb3l3	NM_001382818
Masp2	NM_001003893
Ces2e	NM_001163756
Slc6a13	NM_001379107
Fetub	NM_001083904
Gpld1	NM_008156
Cfh	NM_009888
Apoh	NM_013475
Azgp1	NM_013478
Apoa5	NM_001348095
Mat1a	NM_133653
Serpinf2	NM_008878
Lipc	NM_001324472
Slc26a1	NM_001310691
Abcb4	NM_008830
Apoa1	NM_009692
Amy1	NM_001110505
Iigp1	NM_001146275
Lrg1	NM_029796
Upb1	NM_133995
Angptl3	NM_013913
Nrn1	NM_001374754
Uroc1	NM_001347329
AI182371	NM_001243102
Fgb	NM_181849
Ftcd	NM_080845
Serpina3n	NM_009252
Cyp2d26	NM_029562
Adh4	NM_011996
Hmgcs2	NM_008256
Pzp	NM_007376
Hc	NM_010406
Hpn	NM_001110252
Aspdh	NM_026690
Hamp	NM_032541
Ldhd	NM_027570
Keg1	NM_029550
F2	NM_010168
F5	NM_007976
Slc10a1	NM_001177561
Cyp2j5	NM_010007
Fgl1	NM_145594
Mbl1	NM_010775
Serpina10	NM_001301404
Urah	NM_001347605
Baat	NM_007519
Acsm5	NM_178758
Ugt1a2	NM_013701
Itih3	NM_008407
Serpina11	NM_001166350
Vtn	NM_011707
Asgr1	NM_001291131
Ugt2b1	NM_152811
Cfhr1	NM_015780
Uox	NM_009474
Aldh8a1	NM_178713
Ttc39c	NM_028341
Ces1f	NM_144930
Slc7a2	NM_001044740
Kynu	NM_001289593
Cyp2f2	NM_007817
Cfhr2	NM_001025575
Hao1	NM_010403
Wfdc21	NM_183249
Pygl	NM_133198
Apoa2	NM_001305549
Cyp2a5	NM_007812
Etnppl	NM_001163587
Aox3	NM_023617
Arg1	NM_007482
Cyp2e1	NM_021282
Iyd	NM_027391
Cyp1a2	NM_009993
Slc27a5	NM_009512
Thrsp	NM_009381
Mup3	NM_001039544
Mup21	NM_001009550
Pah	NM_008777
Itih1	NM_001306078
C6	NM_016704
Serpina3k	NM_011458
Itih4	NM_001159299
Cyp2d10	NM_010005
Ugt1a5	NM_201643
Klkb1	NM_008455
Dpys	NM_001164466
Hsd3b3	NM_001012306
Aspg	NM_001081169
Bhmt2	NM_022884
Cyp2c29	NM_001410153
Inmt	NM_009349
Agxt2	NM_001031851
Ugt2a3	NM_028094
Hgd	NM_013547
Serpina3m	NM_001409934
Pon1	NM_001410259
Slco1a1	NM_013797
Akr1c6	NM_030611
Acsm3	NM_016870
Slc27a2	NM_011978
Slc22a1	NM_009202
Serpina1e	NM_009247
Sds	NM_145565
Gulo	NM_178747
Cps1	NM_001080809
Cyp2c70	NM_145499
Ass1	NM_007494
Pck1	NM_011044
Qprt	NM_133686
Pigr	NM_011082
Abcb11	NM_001363492
Asgr2	NM_001313925
Mbl2	NM_001365058
Chdh	NM_001136240
F12	NM_021489
Cyp3a25	NM_019792
Cyp3a11	NM_007818
Cpn2	NM_027904
Nat8f2	NM_053096
F13b	NM_031164
Bhmt	NM_016668
Gm4952	NM_001013762
Kmo	NM_133809
Cyp4f14	NM_001204333
Ces1g	NM_021456
A1cf	NM_001081074
Gjb2	NM_008125
C8a	NM_001290645
Otc	NM_001411675
Elovl2	NM_001311121
