Ktn1	NM_001293635
Ahnak	NM_001039959
Ankrd40	NM_027799
Slc25a11	NM_024211
Eif4g1	NM_001005331
Tacc2	NM_001004468
Rdx	NM_001104616
Rab12	NM_024448
Psme4	NM_134013
Sh3glb1	NM_001282037
Nfe2l1	NM_001130450
Acadl	NM_007381
Sparcl1	NM_001359014
Hint1	NM_008248
Ndufa2	NM_010885
Rhoq	NM_145491
Vdac2	NM_011695
Uqcc2	NM_001364944
Prdx3	NM_007452
Ywhae	NM_009536
Trim63	NM_001039048
Ppp2r3a	NM_001161362
Ssr3	NM_026155
Rpl8	NM_012053
Psmd6	NM_025550
Psmd4	NM_001282017
Ybx1	NM_011732
Smyd1	NM_001160127
Cox7a2	NM_009945
Tuba8	NM_017379
Tcea3	NM_011542
Igfbp5	NM_010518
Itgb1	NM_010578
Paip2	NM_001357470
Polr2m	NM_001164793
Hspb8	NM_030704
Sgk1	NM_001161845
Psmc3	NM_008948
Plec	NM_001163540
Aqp1	NM_007472
Cpe	NM_013494
Asb2	NM_001374764
Mrpl42	NM_001359476
Spag9	NM_001025428
Dbi	NM_001037999
Ankrd2	NM_020033
Lmod3	NM_001081157
Hspa5	NM_001163434
Ndufb6	NM_001033305
Msrb3	NM_001406399
Nexn	NM_001357206
Tmod1	NM_021883
Mfn2	NM_001285920
Calm3	NM_007590
Capzb	NM_001037761
Clic5	NM_172621
Fyco1	NM_001110253
Fitm1	NM_026808
Ndufs8	NM_001271443
Gpt2	NM_173866
Adipor1	NM_001306069
Cab39	NM_001355046
Itgb1bp2	NM_013712
Kif1c	NM_153103
Lpin1	NM_001130412
Psmc6	NM_001416015
Tob1	NM_009427
Itm2b	NM_008410
Cap2	NM_026056
Acaa2	NM_177470
Usp13	NM_001013024
Gys1	NM_030678
Acsl1	NM_001302163
Jsrp1	NM_028001
Vegfa	NM_001025250
Map4	NM_001205330
Ddx3x	NM_008015
Wwp1	NM_001276292
Dlat	NM_145614
Rragd	NM_001369055
Uqcr11	NM_025650
Ndufb3	NM_025597
Hdgf	NM_001331051
Hipk3	NM_001145824
Dhrs7c	NM_001013013
Asb11	NM_001313737
Fbxo40	NM_001037321
Flnc	NM_001081185
Cav1	NM_001243064
Obscn	NM_001171512
Gpi1	NM_008155
Cacng1	NM_007582
Lgals1	NM_008495
Slc16a3	NM_001038653
Ndufa8	NM_026703
Pacsin3	NM_001289677
Cdc42	NM_001243769
Hadh	NM_008212
2310002L09Rik	NM_027104
Pfdn1	NM_026027
Dnaja2	NM_019794
Atl2	NM_001286647
Anapc5	NM_001042491
Lmod2	NM_053098
Psmd12	NM_025894
Chpt1	NM_001146690
Grsf1	NM_001098476
Alpk3	NM_054085
Glul	NM_008131
Hspb7	NM_013868
Mgst3	NM_025569
Rps5	NM_001417226
Kpna4	NM_008467
Ndufc1	NM_025523
Dcaf6	NM_028759
Rnf11	NM_013876
Zfp91	NM_053009
Cisd1	NM_134007
Sypl2	NM_008596
Ndufa1	NM_019443
Ndufb11	NM_001358624
Yipf7	NM_023784
Calr	NM_007591
Nap1l4	NM_001285489
Arf1	NM_001130408
Mrfap1	NM_026242
